Employee Name,Manager Name,Email,Date of Hire,Store,Shift Start,Shift End,Station,Hourly Pay Rate
"Davis, Jennifer","Johnston, William",jennifer.davis@abcfoodmart.com,2023-11-03,ABC Foodmart - DUMBO,2024-02-14 00:00,2024-02-14 00:00,deli,19.84
"Conrad, Frederick","Ellis, Grant",frederick.conrad@abcfoodmart.com,2023-11-24,ABC Foodmart - Bay Ridge,2024-01-23 00:00,2024-01-23 00:00,meats,18.43
"Thomas, Robert","Compton, Jeffrey",robert.thomas@abcfoodmart.com,2022-05-18,ABC Foodmart - Bay Ridge,2022-06-12 00:00,2022-06-12 00:00,frozen foods,18.16
"Alvarez, Brenda","David, Mr.",brenda.alvarez@abcfoodmart.com,2023-11-16,ABC Foodmart - Whitestone,2024-01-17 00:00,2024-01-17 00:00,floral,18.81
"Hughes, Christopher","Waller, Chad",christopher.hughes@abcfoodmart.com,2022-09-01,ABC Foodmart - Tribeca,2022-11-02 00:00,2022-11-02 00:00,customer service,19.15
"Nichols, Brandon","Carter, Karen",brandon.nichols@abcfoodmart.com,2024-02-28,ABC Foodmart - Bay Ridge,2024-06-15 00:00,2024-06-15 00:00,dairy,12.89
"Durham, Denise","Hoffman, Tina",denise.durham@abcfoodmart.com,2022-10-24,ABC Foodmart - Tribeca,2023-01-19 00:00,2023-01-19 00:00,fresh produce,18.75
"Foster, Jennifer","Ellis, Grant",jennifer.foster@abcfoodmart.com,2023-06-15,ABC Foodmart - Staten Island,2023-08-18 00:00,2023-08-18 00:00,meats,18.58
"Gonzalez, Michele","Williams, Gina",michele.gonzalez@abcfoodmart.com,2023-09-23,ABC Foodmart - Whitestone,2023-10-12 00:00,2023-10-12 00:00,seafood,19.93
"Jackson, Gary","Compton, Jeffrey",gary.jackson@abcfoodmart.com,2022-09-08,ABC Foodmart - Tribeca,2022-09-25 00:00,2022-09-25 00:00,bakery,17.02
"Kerr, Jason","Waller, Chad",jason.kerr@abcfoodmart.com,2022-11-21,ABC Foodmart - Staten Island,2023-01-06 00:00,2023-01-06 00:00,frozen foods,14.30
"Dodson, Courtney","Johnston, William",courtney.dodson@abcfoodmart.com,2023-01-10,ABC Foodmart - DUMBO,2023-03-13 00:00,2023-03-13 00:00,deli,19.50
"Randolph, Emily","Cooper, Robert",emily.randolph@abcfoodmart.com,2023-03-09,ABC Foodmart - Whitestone,2023-06-11 00:00,2023-06-11 00:00,bakery,12.68
"Kramer, Veronica","Moran, John",veronica.kramer@abcfoodmart.com,2023-03-28,ABC Foodmart - Bay Ridge,2023-06-09 00:00,2023-06-09 00:00,fresh produce,17.06
"Myers, Gary","Carter, Karen",gary.myers@abcfoodmart.com,2023-10-13,ABC Foodmart - Whitestone,2023-11-14 00:00,2023-11-14 00:00,dairy,18.87
"Perry, Andrea","David, Mr.",andrea.perry@abcfoodmart.com,2023-05-05,ABC Foodmart - DUMBO,2023-07-16 00:00,2023-07-16 00:00,fresh produce,12.59
"Shah, Amanda","Flores, Angela",amanda.shah@abcfoodmart.com,2023-10-07,ABC Foodmart - Staten Island,2023-11-03 00:00,2023-11-03 00:00,bakery,12.15
"Payne, Samantha","Hoffman, Tina",samantha.payne@abcfoodmart.com,2024-04-06,ABC Foodmart - DUMBO,2024-05-24 00:00,2024-05-24 00:00,pharmacy,17.26
"Herrera, Spencer","Williams, Gina",spencer.herrera@abcfoodmart.com,2023-01-16,ABC Foodmart - Tribeca,2023-02-12 00:00,2023-02-12 00:00,pharmacy,12.01
"Blanchard, Ricky","Farrell, Christopher",ricky.blanchard@abcfoodmart.com,2023-05-23,ABC Foodmart - Tribeca,2023-06-15 00:00,2023-06-15 00:00,frozen foods,13.18
"Garcia, Sarah","Cooper, Robert",sarah.garcia@abcfoodmart.com,2022-12-14,ABC Foodmart - DUMBO,2023-03-16 00:00,2023-03-16 00:00,fresh produce,15.54
"Thomas, Robert","Moran, John",robert.thomas@abcfoodmart.com,2022-05-18,ABC Foodmart - Bay Ridge,2022-06-23 00:00,2022-06-23 00:00,cashier,17.73
"Brown, Lisa","Ellis, Grant",lisa.brown@abcfoodmart.com,2022-08-18,ABC Foodmart - Bay Ridge,2022-10-11 00:00,2022-10-11 00:00,customer service,15.65
"Moon, James","Ellis, Grant",james.moon@abcfoodmart.com,2023-10-20,ABC Foodmart - Staten Island,2023-11-21 00:00,2023-11-21 00:00,customer service,15.93
"Wilson, Jill","Moran, John",jill.wilson@abcfoodmart.com,2022-12-06,ABC Foodmart - Tribeca,2023-03-21 00:00,2023-03-21 00:00,seafood,15.74
"Thompson, Matthew","Waller, Chad",matthew.thompson@abcfoodmart.com,2022-04-22,ABC Foodmart - Staten Island,2022-06-20 00:00,2022-06-20 00:00,customer service,18.46
"Hughes, Christopher","David, Mr.",christopher.hughes@abcfoodmart.com,2022-09-01,ABC Foodmart - Bay Ridge,2022-11-22 00:00,2022-11-22 00:00,dairy,16.03
"Gross, Andrew","Hoffman, Tina",andrew.gross@abcfoodmart.com,2022-04-30,ABC Foodmart - Tribeca,2022-05-11 00:00,2022-05-11 00:00,meats,14.36
"White, Kenneth","Williams, Gina",kenneth.white@abcfoodmart.com,2023-01-22,ABC Foodmart - Tribeca,2023-04-07 00:00,2023-04-07 00:00,floral,12.54
"Golden, Laurie","Flores, Angela",laurie.golden@abcfoodmart.com,2023-12-23,ABC Foodmart - Bay Ridge,2023-12-26 00:00,2023-12-26 00:00,floral,15.52
"Pena, Johnathan","Hoffman, Tina",johnathan.pena@abcfoodmart.com,2023-02-22,ABC Foodmart - Tribeca,2023-03-29 00:00,2023-03-29 00:00,fresh produce,13.05
"Moyer, Steven","Cooper, Robert",steven.moyer@abcfoodmart.com,2022-12-26,ABC Foodmart - Staten Island,2023-01-06 00:00,2023-01-06 00:00,meats,13.07
"Gonzalez, Michele","Carter, Karen",michele.gonzalez@abcfoodmart.com,2023-09-23,ABC Foodmart - Staten Island,2023-10-28 00:00,2023-10-28 00:00,pharmacy,18.40
"Alvarez, Brenda","David, Mr.",brenda.alvarez@abcfoodmart.com,2023-11-16,ABC Foodmart - Tribeca,2024-01-20 00:00,2024-01-20 00:00,seafood,17.50
"Galvan, Lori","Ellis, Grant",lori.galvan@abcfoodmart.com,2022-05-24,ABC Foodmart - Bay Ridge,2022-07-23 00:00,2022-07-23 00:00,pharmacy,19.09
"Tate, Harry","Flores, Angela",harry.tate@abcfoodmart.com,2022-09-18,ABC Foodmart - Bay Ridge,2022-12-08 00:00,2022-12-08 00:00,frozen foods,14.21
"Gross, Andrew","Hoffman, Tina",andrew.gross@abcfoodmart.com,2022-04-30,ABC Foodmart - DUMBO,2022-05-15 00:00,2022-05-15 00:00,deli,19.45
"Walls, Kristen","Hoffman, Tina",kristen.walls@abcfoodmart.com,2023-02-10,ABC Foodmart - Tribeca,2023-05-04 00:00,2023-05-04 00:00,bakery,12.06
"Wells, Monica","Johnston, William",monica.wells@abcfoodmart.com,2024-03-12,ABC Foodmart - Tribeca,2024-05-06 00:00,2024-05-06 00:00,dry goods,13.17
"Dodson, Courtney","Williams, Gina",courtney.dodson@abcfoodmart.com,2023-01-10,ABC Foodmart - Tribeca,2023-04-03 00:00,2023-04-03 00:00,deli,19.85
"Kerr, Jason","Carter, Karen",jason.kerr@abcfoodmart.com,2022-11-21,ABC Foodmart - DUMBO,2023-01-29 00:00,2023-01-29 00:00,frozen foods,19.16
"Wood, Joshua","Carter, Karen",joshua.wood@abcfoodmart.com,2022-11-26,ABC Foodmart - Whitestone,2023-01-18 00:00,2023-01-18 00:00,cashier,15.71
"Jones, Evelyn","Ellis, Grant",evelyn.jones@abcfoodmart.com,2024-02-25,ABC Foodmart - Bay Ridge,2024-03-12 00:00,2024-03-12 00:00,seafood,19.39
"Walls, Kristen","Farrell, Christopher",kristen.walls@abcfoodmart.com,2023-02-10,ABC Foodmart - Tribeca,2023-05-11 00:00,2023-05-11 00:00,seafood,19.06
"Payne, Samantha","David, Mr.",samantha.payne@abcfoodmart.com,2024-04-06,ABC Foodmart - DUMBO,2024-06-04 00:00,2024-06-04 00:00,customer service,18.26
"Long, Kirsten","Moran, John",kirsten.long@abcfoodmart.com,2024-02-24,ABC Foodmart - Bay Ridge,2024-04-12 00:00,2024-04-12 00:00,customer service,13.36
"Day, Natasha","Moran, John",natasha.day@abcfoodmart.com,2023-08-02,ABC Foodmart - Bay Ridge,2023-08-23 00:00,2023-08-23 00:00,cashier,15.09
"Smith, Diana","Ellis, Grant",diana.smith@abcfoodmart.com,2023-05-31,ABC Foodmart - Whitestone,2023-07-06 00:00,2023-07-06 00:00,customer service,18.86
"Owens, Jeffrey","Ellis, Grant",jeffrey.owens@abcfoodmart.com,2022-05-03,ABC Foodmart - Staten Island,2022-06-03 00:00,2022-06-03 00:00,cashier,19.91
"Garcia, Sarah","Ellis, Grant",sarah.garcia@abcfoodmart.com,2022-12-14,ABC Foodmart - Tribeca,2023-03-22 00:00,2023-03-22 00:00,customer service,17.96
"Durham, Denise","Ellis, Grant",denise.durham@abcfoodmart.com,2022-10-24,ABC Foodmart - Tribeca,2023-01-30 00:00,2023-01-30 00:00,pharmacy,16.74
"Marquez, Jeffrey","Hoffman, Tina",jeffrey.marquez@abcfoodmart.com,2023-02-19,ABC Foodmart - Whitestone,2023-06-09 00:00,2023-06-09 00:00,dry goods,18.91
"Horton, Ashley","Hoffman, Tina",ashley.horton@abcfoodmart.com,2024-01-24,ABC Foodmart - Staten Island,2024-04-09 00:00,2024-04-09 00:00,cashier,17.43
"Owens, Jeffrey","Moran, John",jeffrey.owens@abcfoodmart.com,2022-05-03,ABC Foodmart - Staten Island,2022-06-08 00:00,2022-06-08 00:00,cashier,13.67
"Tate, Harry","Farrell, Christopher",harry.tate@abcfoodmart.com,2022-09-18,ABC Foodmart - Bay Ridge,2022-12-11 00:00,2022-12-11 00:00,customer service,16.96
"Golden, Laurie","Moran, John",laurie.golden@abcfoodmart.com,2023-12-23,ABC Foodmart - DUMBO,2024-01-16 00:00,2024-01-16 00:00,frozen foods,19.93
"Mckinney, Marcus","Farrell, Christopher",marcus.mckinney@abcfoodmart.com,2022-08-14,ABC Foodmart - Bay Ridge,2022-12-17 00:00,2022-12-17 00:00,cashier,12.09
"Moore, Jason","Moran, John",jason.moore@abcfoodmart.com,2023-07-11,ABC Foodmart - Whitestone,2023-08-20 00:00,2023-08-20 00:00,pharmacy,15.67
"Gross, Andrew","Carter, Karen",andrew.gross@abcfoodmart.com,2022-04-30,ABC Foodmart - Bay Ridge,2022-06-06 00:00,2022-06-06 00:00,cashier,17.02
"Campbell, Brittany","Hoffman, Tina",brittany.campbell@abcfoodmart.com,2023-03-25,ABC Foodmart - Tribeca,2023-07-12 00:00,2023-07-12 00:00,frozen foods,17.47
"Dodson, Courtney","Farrell, Christopher",courtney.dodson@abcfoodmart.com,2023-01-10,ABC Foodmart - DUMBO,2023-04-20 00:00,2023-04-20 00:00,frozen foods,14.43
"Davis, Jennifer","Johnston, William",jennifer.davis@abcfoodmart.com,2023-11-03,ABC Foodmart - Staten Island,2024-02-20 00:00,2024-02-20 00:00,fresh produce,15.32
"Kerr, Jason","Flores, Angela",jason.kerr@abcfoodmart.com,2022-11-21,ABC Foodmart - Whitestone,2023-02-13 00:00,2023-02-13 00:00,fresh produce,18.29
"Hull, Shane","Compton, Jeffrey",shane.hull@abcfoodmart.com,2024-01-09,ABC Foodmart - DUMBO,2024-02-10 00:00,2024-02-10 00:00,dry goods,16.68
"Hayes, Brandon","Flores, Angela",brandon.hayes@abcfoodmart.com,2022-09-28,ABC Foodmart - DUMBO,2022-10-18 00:00,2022-10-18 00:00,meats,18.03
"White, Kenneth","Waller, Chad",kenneth.white@abcfoodmart.com,2023-01-22,ABC Foodmart - Staten Island,2023-04-27 00:00,2023-04-27 00:00,floral,12.86
"Foster, Kenneth","Moran, John",kenneth.foster@abcfoodmart.com,2023-04-23,ABC Foodmart - Tribeca,2023-08-09 00:00,2023-08-09 00:00,seafood,19.86
"Horton, Mark","Hoffman, Tina",mark.horton@abcfoodmart.com,2023-02-14,ABC Foodmart - Whitestone,2023-03-08 00:00,2023-03-08 00:00,seafood,15.54
"Nguyen, Richard","Moran, John",richard.nguyen@abcfoodmart.com,2022-09-27,ABC Foodmart - Bay Ridge,2022-11-22 00:00,2022-11-22 00:00,frozen foods,19.38
"Rogers, Mark","Ellis, Grant",mark.rogers@abcfoodmart.com,2023-05-08,ABC Foodmart - DUMBO,2023-07-08 00:00,2023-07-08 00:00,floral,17.93
"Myers, Gary","Carter, Karen",gary.myers@abcfoodmart.com,2023-10-13,ABC Foodmart - Whitestone,2023-11-21 00:00,2023-11-21 00:00,meats,17.05
"Spears, Erin","Hoffman, Tina",erin.spears@abcfoodmart.com,2023-07-30,ABC Foodmart - Bay Ridge,2023-10-30 00:00,2023-10-30 00:00,meats,16.04
"Bradley, Rita","Farrell, Christopher",rita.bradley@abcfoodmart.com,2023-08-06,ABC Foodmart - Tribeca,2023-10-16 00:00,2023-10-16 00:00,pharmacy,18.67
"Golden, Laurie","Flores, Angela",laurie.golden@abcfoodmart.com,2023-12-23,ABC Foodmart - Staten Island,2024-02-06 00:00,2024-02-06 00:00,dairy,16.90
"Smith, Diana","David, Mr.",diana.smith@abcfoodmart.com,2023-05-31,ABC Foodmart - Staten Island,2023-07-29 00:00,2023-07-29 00:00,dairy,17.23
"Henderson, Nancy","Cooper, Robert",nancy.henderson@abcfoodmart.com,2023-12-30,ABC Foodmart - Tribeca,2024-02-24 00:00,2024-02-24 00:00,pharmacy,16.81
"Bradley, Rita","Waller, Chad",rita.bradley@abcfoodmart.com,2023-08-06,ABC Foodmart - Whitestone,2023-11-04 00:00,2023-11-04 00:00,cashier,17.58
"Terri, Mrs.","Compton, Jeffrey",mrs..terri@abcfoodmart.com,2022-09-23,ABC Foodmart - Tribeca,2022-12-16 00:00,2022-12-16 00:00,seafood,13.94
"Smith, Brandy","Williams, Gina",brandy.smith@abcfoodmart.com,2023-12-26,ABC Foodmart - Staten Island,2024-03-02 00:00,2024-03-02 00:00,dairy,12.81
"Smith, Brandy","Farrell, Christopher",brandy.smith@abcfoodmart.com,2023-12-26,ABC Foodmart - Whitestone,2024-03-31 00:00,2024-03-31 00:00,meats,18.24
"Davis, Jennifer","Moran, John",jennifer.davis@abcfoodmart.com,2023-11-03,ABC Foodmart - Bay Ridge,2024-02-21 00:00,2024-02-21 00:00,meats,15.31
"Waters, Julie","Flores, Angela",julie.waters@abcfoodmart.com,2023-05-20,ABC Foodmart - Whitestone,2023-07-29 00:00,2023-07-29 00:00,floral,16.12
"Davis, Jennifer","Carter, Karen",jennifer.davis@abcfoodmart.com,2023-11-03,ABC Foodmart - Bay Ridge,2024-02-28 00:00,2024-02-28 00:00,dry goods,13.58
"Dodson, Courtney","Moran, John",courtney.dodson@abcfoodmart.com,2023-01-10,ABC Foodmart - DUMBO,2023-05-08 00:00,2023-05-08 00:00,pharmacy,15.70
"Mckinney, Marcus","Compton, Jeffrey",marcus.mckinney@abcfoodmart.com,2022-08-14,ABC Foodmart - Whitestone,2023-01-05 00:00,2023-01-05 00:00,fresh produce,19.29
"Galvan, Lori","Flores, Angela",lori.galvan@abcfoodmart.com,2022-05-24,ABC Foodmart - DUMBO,2022-08-15 00:00,2022-08-15 00:00,customer service,14.83
"Jackson, Michael","Farrell, Christopher",michael.jackson@abcfoodmart.com,2022-10-31,ABC Foodmart - DUMBO,2022-12-19 00:00,2022-12-19 00:00,dry goods,13.82
"Jones, Christopher","Waller, Chad",christopher.jones@abcfoodmart.com,2022-05-19,ABC Foodmart - DUMBO,2022-09-26 00:00,2022-09-26 00:00,fresh produce,18.99
"Spears, Erin","David, Mr.",erin.spears@abcfoodmart.com,2023-07-30,ABC Foodmart - Bay Ridge,2023-11-01 00:00,2023-11-01 00:00,bakery,17.51
"Harrell, Angie","Moran, John",angie.harrell@abcfoodmart.com,2023-06-01,ABC Foodmart - Bay Ridge,2023-09-09 00:00,2023-09-09 00:00,customer service,15.83
"Conrad, Frederick","Compton, Jeffrey",frederick.conrad@abcfoodmart.com,2023-11-24,ABC Foodmart - Bay Ridge,2024-01-25 00:00,2024-01-25 00:00,seafood,12.46
"Woods, Marcus","Farrell, Christopher",marcus.woods@abcfoodmart.com,2024-04-01,ABC Foodmart - Bay Ridge,2024-05-31 00:00,2024-05-31 00:00,customer service,15.53
"Eric, Mr.","Williams, Gina",mr..eric@abcfoodmart.com,2022-09-02,ABC Foodmart - Tribeca,2022-12-03 00:00,2022-12-03 00:00,dairy,14.24
"Atkinson, Gary","Williams, Gina",gary.atkinson@abcfoodmart.com,2022-05-24,ABC Foodmart - Bay Ridge,2022-09-02 00:00,2022-09-02 00:00,dry goods,13.62
"Walls, Kristen","Johnston, William",kristen.walls@abcfoodmart.com,2023-02-10,ABC Foodmart - Staten Island,2023-05-27 00:00,2023-05-27 00:00,dry goods,13.29
"Roach, Christine","Ellis, Grant",christine.roach@abcfoodmart.com,2023-10-15,ABC Foodmart - DUMBO,2024-01-13 00:00,2024-01-13 00:00,seafood,17.41
"Werner, Kara","Johnston, William",kara.werner@abcfoodmart.com,2023-10-12,ABC Foodmart - Tribeca,2023-10-28 00:00,2023-10-28 00:00,dairy,18.25
"Werner, Kara","Waller, Chad",kara.werner@abcfoodmart.com,2023-10-12,ABC Foodmart - Bay Ridge,2023-11-23 00:00,2023-11-23 00:00,dry goods,13.03
"Waters, Julie","Hoffman, Tina",julie.waters@abcfoodmart.com,2023-05-20,ABC Foodmart - Bay Ridge,2023-08-07 00:00,2023-08-07 00:00,cashier,17.71
"Garcia, Sarah","Moran, John",sarah.garcia@abcfoodmart.com,2022-12-14,ABC Foodmart - Staten Island,2023-04-15 00:00,2023-04-15 00:00,seafood,18.03
"Horton, Ashley","Ellis, Grant",ashley.horton@abcfoodmart.com,2024-01-24,ABC Foodmart - Tribeca,2024-05-03 00:00,2024-05-03 00:00,pharmacy,13.28
"Wells, Monica","Cooper, Robert",monica.wells@abcfoodmart.com,2024-03-12,ABC Foodmart - DUMBO,2024-05-27 00:00,2024-05-27 00:00,floral,19.83
"Burns, Kendra","David, Mr.",kendra.burns@abcfoodmart.com,2022-12-13,ABC Foodmart - DUMBO,2023-02-09 00:00,2023-02-09 00:00,dairy,17.10
"Church, Joshua","Moran, John",joshua.church@abcfoodmart.com,2024-03-03,ABC Foodmart - Staten Island,2024-05-24 00:00,2024-05-24 00:00,dry goods,15.86
"Jessica, Ms.","Compton, Jeffrey",ms..jessica@abcfoodmart.com,2022-06-10,ABC Foodmart - Bay Ridge,2022-08-01 00:00,2022-08-01 00:00,floral,14.35
"Conrad, Frederick","Waller, Chad",frederick.conrad@abcfoodmart.com,2023-11-24,ABC Foodmart - Bay Ridge,2024-02-06 00:00,2024-02-06 00:00,pharmacy,19.27
"Brooks, Renee","David, Mr.",renee.brooks@abcfoodmart.com,2023-07-15,ABC Foodmart - Tribeca,2023-10-07 00:00,2023-10-07 00:00,floral,16.35
"Waters, Julie","Johnston, William",julie.waters@abcfoodmart.com,2023-05-20,ABC Foodmart - Whitestone,2023-08-12 00:00,2023-08-12 00:00,floral,18.09
"Colon, Lindsey","Cooper, Robert",lindsey.colon@abcfoodmart.com,2023-02-16,ABC Foodmart - Whitestone,2023-03-10 00:00,2023-03-10 00:00,bakery,15.43
"Marquez, Jeffrey","Compton, Jeffrey",jeffrey.marquez@abcfoodmart.com,2023-02-19,ABC Foodmart - DUMBO,2023-06-19 00:00,2023-06-19 00:00,dry goods,18.35
"Meyer, James","Carter, Karen",james.meyer@abcfoodmart.com,2022-05-02,ABC Foodmart - Bay Ridge,2022-07-11 00:00,2022-07-11 00:00,customer service,16.67
"Kramer, Veronica","David, Mr.",veronica.kramer@abcfoodmart.com,2023-03-28,ABC Foodmart - Tribeca,2023-06-16 00:00,2023-06-16 00:00,pharmacy,12.76
"Brooks, Renee","Williams, Gina",renee.brooks@abcfoodmart.com,2023-07-15,ABC Foodmart - Bay Ridge,2023-11-03 00:00,2023-11-03 00:00,dry goods,15.30
"Colon, Lindsey","Ellis, Grant",lindsey.colon@abcfoodmart.com,2023-02-16,ABC Foodmart - Staten Island,2023-03-27 00:00,2023-03-27 00:00,meats,17.07
"White, Kenneth","Johnston, William",kenneth.white@abcfoodmart.com,2023-01-22,ABC Foodmart - Bay Ridge,2023-04-30 00:00,2023-04-30 00:00,deli,19.36
"Tate, Harry","David, Mr.",harry.tate@abcfoodmart.com,2022-09-18,ABC Foodmart - Whitestone,2022-12-26 00:00,2022-12-26 00:00,bakery,16.12
"Mckenzie, William","Carter, Karen",william.mckenzie@abcfoodmart.com,2023-01-04,ABC Foodmart - Staten Island,2023-04-09 00:00,2023-04-09 00:00,meats,20.00
"Meyer, James","Farrell, Christopher",james.meyer@abcfoodmart.com,2022-05-02,ABC Foodmart - Bay Ridge,2022-07-22 00:00,2022-07-22 00:00,dairy,18.79
"Jacobs, Brenda","Compton, Jeffrey",brenda.jacobs@abcfoodmart.com,2024-02-09,ABC Foodmart - Tribeca,2024-05-06 00:00,2024-05-06 00:00,frozen foods,18.06
"Randolph, Emily","Carter, Karen",emily.randolph@abcfoodmart.com,2023-03-09,ABC Foodmart - Staten Island,2023-06-27 00:00,2023-06-27 00:00,dry goods,13.79
"Campbell, Brittany","Flores, Angela",brittany.campbell@abcfoodmart.com,2023-03-25,ABC Foodmart - DUMBO,2023-07-24 00:00,2023-07-24 00:00,seafood,13.13
"Eric, Mr.","David, Mr.",mr..eric@abcfoodmart.com,2022-09-02,ABC Foodmart - Bay Ridge,2022-12-19 00:00,2022-12-19 00:00,meats,19.23
"Carroll, Eric","Hoffman, Tina",eric.carroll@abcfoodmart.com,2022-12-26,ABC Foodmart - Staten Island,2023-04-11 00:00,2023-04-11 00:00,fresh produce,14.05
"Moore, Jason","Hoffman, Tina",jason.moore@abcfoodmart.com,2023-07-11,ABC Foodmart - Bay Ridge,2023-08-22 00:00,2023-08-22 00:00,bakery,12.16
"Henderson, Nancy","Carter, Karen",nancy.henderson@abcfoodmart.com,2023-12-30,ABC Foodmart - Whitestone,2024-03-12 00:00,2024-03-12 00:00,seafood,14.03
"Chambers, Jeffrey","Waller, Chad",jeffrey.chambers@abcfoodmart.com,2022-09-29,ABC Foodmart - Tribeca,2023-01-10 00:00,2023-01-10 00:00,pharmacy,13.57
"Conrad, Frederick","Ellis, Grant",frederick.conrad@abcfoodmart.com,2023-11-24,ABC Foodmart - Staten Island,2024-02-16 00:00,2024-02-16 00:00,dry goods,16.31
"Henderson, Nancy","Carter, Karen",nancy.henderson@abcfoodmart.com,2023-12-30,ABC Foodmart - Staten Island,2024-03-18 00:00,2024-03-18 00:00,floral,15.10
"Moore, Jason","Farrell, Christopher",jason.moore@abcfoodmart.com,2023-07-11,ABC Foodmart - Tribeca,2023-09-11 00:00,2023-09-11 00:00,cashier,14.80
"Jones, Evelyn","Waller, Chad",evelyn.jones@abcfoodmart.com,2024-02-25,ABC Foodmart - DUMBO,2024-03-27 00:00,2024-03-27 00:00,frozen foods,13.78
"Walters, Jay","Williams, Gina",jay.walters@abcfoodmart.com,2023-12-17,ABC Foodmart - Tribeca,2024-06-28 00:00,2024-06-28 00:00,dairy,14.07
"Brooks, Renee","David, Mr.",renee.brooks@abcfoodmart.com,2023-07-15,ABC Foodmart - Tribeca,2023-11-12 00:00,2023-11-12 00:00,dairy,12.80
"Love, Thomas","Compton, Jeffrey",thomas.love@abcfoodmart.com,2024-02-18,ABC Foodmart - DUMBO,2024-05-04 00:00,2024-05-04 00:00,seafood,12.36
"Brown, Lisa","Carter, Karen",lisa.brown@abcfoodmart.com,2022-08-18,ABC Foodmart - Staten Island,2022-10-27 00:00,2022-10-27 00:00,cashier,19.53
"Jones, Christopher","David, Mr.",christopher.jones@abcfoodmart.com,2022-05-19,ABC Foodmart - DUMBO,2022-10-08 00:00,2022-10-08 00:00,meats,17.71
"Wilson, Jill","Hoffman, Tina",jill.wilson@abcfoodmart.com,2022-12-06,ABC Foodmart - Tribeca,2023-04-16 00:00,2023-04-16 00:00,customer service,14.00
"Tate, Harry","Flores, Angela",harry.tate@abcfoodmart.com,2022-09-18,ABC Foodmart - Staten Island,2023-01-23 00:00,2023-01-23 00:00,bakery,13.84
"Pena, Johnathan","Waller, Chad",johnathan.pena@abcfoodmart.com,2023-02-22,ABC Foodmart - Bay Ridge,2023-04-23 00:00,2023-04-23 00:00,deli,16.84
"Woods, Marcus","Farrell, Christopher",marcus.woods@abcfoodmart.com,2024-04-01,ABC Foodmart - DUMBO,2024-06-16 00:00,2024-06-16 00:00,customer service,12.61
"Gross, Andrew","Cooper, Robert",andrew.gross@abcfoodmart.com,2022-04-30,ABC Foodmart - Staten Island,2022-07-05 00:00,2022-07-05 00:00,deli,18.58
"Love, Thomas","Williams, Gina",thomas.love@abcfoodmart.com,2024-02-18,ABC Foodmart - Whitestone,2024-05-12 00:00,2024-05-12 00:00,seafood,18.88
"Shah, Amanda","Waller, Chad",amanda.shah@abcfoodmart.com,2023-10-07,ABC Foodmart - DUMBO,2023-11-16 00:00,2023-11-16 00:00,seafood,18.79
"Jackson, Michael","Williams, Gina",michael.jackson@abcfoodmart.com,2022-10-31,ABC Foodmart - Bay Ridge,2023-01-13 00:00,2023-01-13 00:00,pharmacy,19.69
"Moore, Jason","Farrell, Christopher",jason.moore@abcfoodmart.com,2023-07-11,ABC Foodmart - DUMBO,2023-09-19 00:00,2023-09-19 00:00,bakery,14.79
"Atkinson, Gary","Farrell, Christopher",gary.atkinson@abcfoodmart.com,2022-05-24,ABC Foodmart - Staten Island,2022-09-05 00:00,2022-09-05 00:00,deli,16.11
"Johnson, Samantha","Flores, Angela",samantha.johnson@abcfoodmart.com,2023-01-16,ABC Foodmart - Whitestone,2023-04-06 00:00,2023-04-06 00:00,meats,12.65
"Hernandez, Michael","Williams, Gina",michael.hernandez@abcfoodmart.com,2022-05-24,ABC Foodmart - Whitestone,2022-07-21 00:00,2022-07-21 00:00,floral,15.61
"Wood, Joshua","Cooper, Robert",joshua.wood@abcfoodmart.com,2022-11-26,ABC Foodmart - Bay Ridge,2023-02-13 00:00,2023-02-13 00:00,deli,18.93
"Jackson, Gary","Johnston, William",gary.jackson@abcfoodmart.com,2022-09-08,ABC Foodmart - Whitestone,2022-09-26 00:00,2022-09-26 00:00,fresh produce,13.69
"Jones, Michael","Cooper, Robert",michael.jones@abcfoodmart.com,2023-01-19,ABC Foodmart - Bay Ridge,2023-02-04 00:00,2023-02-04 00:00,deli,19.49
"Perry, Andrea","Waller, Chad",andrea.perry@abcfoodmart.com,2023-05-05,ABC Foodmart - Bay Ridge,2023-08-12 00:00,2023-08-12 00:00,frozen foods,19.24
"Conrad, Frederick","Williams, Gina",frederick.conrad@abcfoodmart.com,2023-11-24,ABC Foodmart - Bay Ridge,2024-03-14 00:00,2024-03-14 00:00,dairy,15.77
"Williams, Michael","Carter, Karen",michael.williams@abcfoodmart.com,2023-06-11,ABC Foodmart - Staten Island,2023-08-07 00:00,2023-08-07 00:00,floral,12.49
"Long, Kirsten","Flores, Angela",kirsten.long@abcfoodmart.com,2024-02-24,ABC Foodmart - Bay Ridge,2024-05-05 00:00,2024-05-05 00:00,dry goods,13.73
"Chambers, Jeffrey","Compton, Jeffrey",jeffrey.chambers@abcfoodmart.com,2022-09-29,ABC Foodmart - DUMBO,2023-01-14 00:00,2023-01-14 00:00,cashier,16.44
"Brooks, Renee","Flores, Angela",renee.brooks@abcfoodmart.com,2023-07-15,ABC Foodmart - Tribeca,2023-12-10 00:00,2023-12-10 00:00,floral,14.23
"Sean, Mr.","Compton, Jeffrey",mr..sean@abcfoodmart.com,2023-03-25,ABC Foodmart - DUMBO,2023-06-25 00:00,2023-06-25 00:00,floral,16.19
